drugbank_id	name	cas	group	description	indication
DB00847	Cysteamine	60-23-1	approved,investigational,	Cysteamine is a radiation-protective agent that oxidizes in air to form cystamine. It can be given intravenously or orally to treat radiation sickness. The bitartrate and hydrochloride salt forms are indicated for the treatment of neuropathic cystinosis in patients 6 years old and older. [PubChem]. Cysteamine is marketed under several brand names such as Cystaran™, Procysbi, and Cystagon®.	"Given intravenously or orally to treat radiation sickness. The bitartrate salts (Cystagon® and Procysbi) have been used for the oral treatment of nephropathic cystinosis and cystinurea. The hydrochloride salt (Cystaran™) is indicated for the treatment of corneal cystine crystal accumulation in cystinosis patients.
"
DB00848	Levamisole	14769-73-4	approved,investigational,vet_approved,withdrawn,	An antihelminthic drug that has been tried experimentally in rheumatic disorders where it apparently restores the immune response by increasing macrophage chemotaxis and T-lymphocyte function. Paradoxically, this immune enhancement appears to be beneficial in rheumatoid arthritis where dermatitis, leukopenia, and thrombocytopenia, and nausea and vomiting have been reported as side effects. (From Smith and Reynard, Textbook of Pharmacology, 1991, p435-6). Levamisole was withdrawn from the US and Canadian markets in 2000 and 2003, respectively, due to the risk of serious side effects and the availability of more effective replacement medications. [Wikipedia]	"For adjuvant treatment in combination with fluorouracil after surgical resection in patients with Dukes' stage C colon cancer. Also used to treat malignant melanoma and head/neck cancer.
Levamisole was originally used as an antihelminthic to treat worm infestations in both humans and animals."
DB00849	Methylphenobarbital	115-38-8	approved,	A barbiturate that is metabolized to phenobarbital. It has been used for similar purposes, especially in epilepsy, but there is no evidence mephobarbital offers any advantage over phenobarbital. [PubChem]	For the relief of anxiety, tension, and apprehension, also used as an anticonvulsant for the treatment of epilepsy.
DB00850	Perphenazine	58-39-9	approved,	An antipsychotic phenothiazine derivative with actions and uses similar to those of chlorpromazine. [PubChem]	For use in the management of the manifestations of psychotic disorders and for the control of severe nausea and vomiting in adults.
DB00851	Dacarbazine	4342-03-4	approved,investigational,	An antineoplastic agent. It has significant activity against melanomas. (from Martindale, The Extra Pharmacopoeia, 31st ed, p564). Dacarbazine with Oblimersen is in clinical trials for the treatment of malignant melanoma.	For the treatment of metastatic malignant melanoma. In addition, dacarbazine is also indicated for Hodgkin's disease as a secondary-line therapy when used in combination with other antineoplastic agents.
DB00852	Pseudoephedrine	90-82-4	approved,	An alpha- and beta-adrenergic agonist that may also enhance release of norepinephrine. It has been used in the treatment of several disorders including asthma, heart failure, rhinitis, and urinary incontinence, and for its central nervous system stimulatory effects in the treatment of narcolepsy and depression. It has become less extensively used with the advent of more selective agonists.	For the treatment of nasal congestion, sinus congestion, Eustachian tube congestion, and vasomotor rhinitis, and as an adjunct to other agents in the optimum treatment of allergic rhinitis, croup, sinusitis, otitis media, and tracheobronchitis. Also used as first-line therapy of priapism.
DB00853	Temozolomide	85622-93-1	approved,investigational,	Temozolomide (Temodar and Temodal) is an oral alkylating agent used for the treatment of refractory anaplastic astrocytoma -- a type of cancerous brain tumor. Temozolomide is not active until it is converted at physiologic pH to the active form, 5-(3-methyltriazen-1-yl)imidazole-4-carboxamide (MTIC).	For the treatment of adult patients diagnosed with anaplastic astrocytoma whose disease has progressed after therapy with nitrosourea and procarbazine, as well as concomitantly with radiation therapy for treatment of newly diagnosed glioblastoma multiforme. Also used as maintenance therapy for glioblastoma multiforme.
DB00854	Levorphanol	77-07-6	approved,	A narcotic analgesic that may be habit-forming. It is nearly as effective orally as by injection.	For the management of moderate to severe pain or as a preoperative medication where an opioid analgesic is appropriate.
DB00855	Aminolevulinic acid	106-60-5	approved,	A compound produced from succinyl-CoA and glycine as an intermediate in heme synthesis. It is used as a photochemotherapy for actinic keratosis. [PubChem]	Aminolevulinic acid plus blue light illumination using a blue light photodynamic therapy illuminator is indicated for the treatment of minimally to moderately thick actinic keratoses of the face or scalp.
DB00856	Chlorphenesin	104-29-0	approved,vet_approved,withdrawn,	A centrally acting muscle relaxant. Its mode of action is unknown. Chlorphenesin is not available in the United States.	Used, along with rest and physical therapy, to treat injuries and other painful muscular conditions. Investigated for use in trigeminal neuralgia (tic douloureux), a neuropathic disorder characterized by severe facial pain. Was investigated as a modulator of histamine release.
DB00857	Terbinafine	91161-71-6	approved,investigational,vet_approved,	Terbinafine hydrochloride (Lamisil) is a synthetic allylamine antifungal. It is highly lipophilic in nature and tends to accumulate in skin, nails, and fatty tissues. Like other allylamines, terbinafine inhibits ergosterol synthesis by inhibiting the fungal squalene monooxygenase (squalene 2,3-epoxidase), an enzyme that is part of the fungal cell wall synthesis pathway.	For the treatment of dermatophyte infections of the toenail or fingernail caused by susceptible fungi. Also for the treatment of tinea capitis (scalp ringworm) and tinea corporis (body ringworm) or tinea cruris (jock itch).
DB00858	Drostanolone	58-19-5	approved,illicit,	Drostanolone (also known as dromostanolone) is a potent synthetic androgenic anabolic steroid similar to testosterone. Drostanolone is indicated in postmenopausal women with recurrent breast cancer, in a combined hormone therapy.	For use in females, for palliation of androgenresponsive recurrent mammary cancer in women who are more than one year but less than five years postmenopausal.
DB00859	Penicillamine	52-67-5	approved,	Penicillamine is a pharmaceutical of the chelator class. The pharmaceutical form is D-penicillamine, as L-penicillamine is toxic (it inhibits the action of pyridoxine). It is an α-amino acid metabolite of penicillin, although it has no antibiotic properties.	For treatment of Wilson's disease, cystinuria and active rheumatoid arthritis.
DB00860	Prednisolone	50-24-8	approved,vet_approved,	A glucocorticoid with the general properties of the corticosteroids. It is the drug of choice for all conditions in which routine systemic corticosteroid therapy is indicated, except adrenal deficiency states. [PubChem]	For the treatment of primary or secondary adrenocortical insufficiency, such as congenital adrenal hyperplasia, thyroiditis. Also used to treat psoriatic arthritis, rheumatoid arthritis, ankylosing spondylitis, bursitis, acute gouty arthritis and epicondylitis. Also indicated for treatment of systemic lupus erythematosus, pemphigus and acute rhematic carditis. Can be used in the treatment of leukemias, lymphomas, thrombocytopenia purpura and autoimmune hemolytic anemia. Can be used to treat celiac disease, insulin resistance, ulcerative colitis and liver disorders.
DB00861	Diflunisal	22494-42-4	approved,investigational,	Diflunisal, a salicylate derivative, is a nonsteroidal anti-inflammatory agent (NSAIA) with pharmacologic actions similar to other prototypical NSAIAs. Diflunisal possesses anti-inflammatory, analgesic and antipyretic activity. Though its mechanism of action has not been clearly established, most of its actions appear to be associated with inhibition of prostaglandin synthesis via the arachidonic acid pathway. Diflunisal is used to relieve pain accompanied with inflammation and in the symptomatic treatment of rheumatoid arthritis and osteoarthritis.	For symptomatic treatment of mild to moderate pain accompanied by inflammation (e.g. musculoskeletal trauma, post-dental extraction, post-episiotomy), osteoarthritis, and rheumatoid arthritis.
DB00862	Vardenafil	224785-90-4	approved,	Vardenafil (Levitra) is an oral therapy for the treatment of erectile dysfunction. It is a selective inhibitor of cyclic guanosine monophosphate (cGMP)-specific phosphodiesterase type 5 (PDE5). Penile erection is a hemodynamic process initiated by the relaxation of smooth muscle in the corpus cavernosum and its associated arterioles. During sexual stimulation, nitric oxide is released from nerve endings and endothelial cells in the corpus cavernosum. Nitric oxide activates the enzyme guanylate cyclase resulting in increased synthesis of cyclic guanosine monophosphate (cGMP) in the smooth muscle cells of the corpus cavernosum. The cGMP in turn triggers smooth muscle relaxation, allowing increased blood flow into the penis, resulting in erection. The tissue concentration of cGMP is regulated by both the rates of synthesis and degradation via phosphodiesterases (PDEs). The most abundant PDE in the human corpus cavernosum is the cGMPspecific phosphodiesterase type 5 (PDE5); therefore, the inhibition of PDE5 enhances erectile function by increasing the amount of cGMP.	Used for the treatment of erectile dysfunction
